step,estimate_x,estimate_y,rmse_x,rmse_y,rmse_vx,rmse_vy
0,0.312243,0.58034,0.287757,0.0196602,5.19994,0
1,0.312243,0.58034,0.437515,0.0196827,5.19984,0.00127057
2,1.17209,0.481276,0.358494,0.0705306,4.50658,0.52307
3,1.56293,0.436246,0.323664,0.102403,4.11646,0.642535
4,1.65735,0.619508,0.289599,0.0919514,3.68316,0.80669
5,1.90638,0.683698,0.26438,0.0902527,3.36342,0.897538
6,2.18293,0.666218,0.244926,0.0867951,3.11399,0.879601
7,2.4401,0.706261,0.229223,0.0885502,2.91293,0.864533
8,2.668,0.690352,0.216146,0.0877637,2.74697,0.831645
9,2.91887,0.718348,0.205154,0.0897026,2.6066,0.803391
10,3.07478,0.680455,0.199142,0.0876244,2.48991,0.76923
11,3.30922,0.697055,0.195457,0.0865974,2.38828,0.739064
12,3.73099,0.498562,0.187825,0.0907394,2.29465,0.720963
13,3.99342,0.483033,0.181046,0.0966022,2.21125,0.70616
14,4.28193,0.521663,0.175303,0.0986478,2.13656,0.688175
15,4.54793,0.513543,0.170243,0.101895,2.06901,0.672943
16,4.60326,0.684776,0.169178,0.0989476,2.00968,0.653041
17,4.84165,0.700155,0.169308,0.0962794,1.95539,0.634695
18,5.27099,0.686254,0.164792,0.0937293,1.90335,0.617991
19,5.53405,0.69785,0.160622,0.0913984,1.85529,0.602808
20,5.89226,0.709096,0.158385,0.0892918,1.81217,0.589096
21,6.16762,0.720647,0.156894,0.0874286,1.7721,0.576813
22,6.4011,0.82249,0.154781,0.0862284,1.73394,0.564146
23,6.67101,0.845785,0.153174,0.0851101,1.69824,0.552287
24,6.87521,0.804905,0.150514,0.0834316,1.66403,0.543114
25,7.13652,0.819806,0.148088,0.0819674,1.63183,0.535296
26,7.29031,0.885281,0.14553,0.0804578,1.60168,0.526525
27,7.5375,0.906822,0.143209,0.079008,1.57313,0.51892
28,7.79321,0.842047,0.14101,0.0798169,1.54597,0.518572
29,8.04153,0.852235,0.139007,0.0818046,1.52015,0.51994
30,8.27257,0.853306,0.137471,0.0857473,1.49569,0.523971
31,8.51862,0.862294,0.136159,0.0913546,1.47236,0.529764
32,8.75702,0.944413,0.135222,0.0941893,1.45012,0.530289
33,9.00206,0.963024,0.134501,0.0982952,1.42883,0.532536
34,9.25069,1.00947,0.133888,0.102213,1.40839,0.534118
35,9.4962,1.03175,0.133432,0.107446,1.38879,0.537448
36,9.86819,1.21567,0.131619,0.107141,1.37053,0.532091
37,10.1303,1.2592,0.129911,0.107242,1.35309,0.527894
