step,estimate_x,estimate_y,rmse_x,rmse_y,rmse_vx,rmse_vy
0,0.312243,0.58034,0.287757,0.0196602,5.19994,0
1,0.779913,0.722413,0.211208,0.0876373,3.81773,1.3965
2,1.11254,0.821251,0.172504,0.146302,3.22809,1.61107
3,0.78187,0.236848,0.334282,0.22167,2.86909,1.91895
4,0.977303,0.369133,0.420956,0.223818,2.63021,2.08012
5,1.39558,0.471669,0.435944,0.21118,2.40713,2.0479
6,1.63452,0.566942,0.449779,0.196018,2.23416,2.02315
7,1.94837,0.616567,0.452508,0.183394,2.09226,1.95999
8,2.194,0.691202,0.45627,0.175055,1.97484,1.90823
9,2.59514,0.693552,0.446309,0.168025,1.87351,1.83027
10,2.85361,0.740209,0.438073,0.164438,1.78634,1.76314
11,3.24496,0.660294,0.423919,0.157811,1.71072,1.68881
12,3.51108,0.674799,0.411301,0.152148,1.64403,1.62309
13,3.84273,0.671794,0.397963,0.146913,1.5857,1.56407
14,4.11477,0.681386,0.385747,0.142235,1.53338,1.51104
15,4.39697,0.678886,0.374308,0.137842,1.48512,1.46322
16,4.66313,0.685185,0.363806,0.1338,1.44122,1.41982
17,4.93376,0.670604,0.354051,0.130048,1.40067,1.38097
18,5.1898,0.672244,0.34512,0.12668,1.36335,1.34558
19,5.4447,0.670916,0.336923,0.123786,1.32906,1.31317
20,5.70839,0.673046,0.329265,0.121398,1.29727,1.28355
21,5.95326,0.576823,0.322304,0.124073,1.26748,1.26146
22,6.20879,0.565273,0.315842,0.128573,1.23964,1.24183
23,6.46973,0.638333,0.309754,0.129742,1.21361,1.2201
24,6.72351,0.637349,0.304084,0.132155,1.18915,1.2005
25,6.98406,0.627014,0.298709,0.136493,1.16693,1.18369
26,7.22892,0.624081,0.293781,0.142405,1.14591,1.16884
27,7.56695,0.668595,0.288511,0.146944,1.12545,1.15348
28,7.82795,0.671523,0.283505,0.152868,1.1061,1.1399
29,8.08872,0.726961,0.278744,0.157172,1.08761,1.12609
30,8.33911,0.735045,0.27422,0.162762,1.07,1.11393
31,8.60455,0.942689,0.269901,0.161538,1.0537,1.09727
32,8.86749,0.973536,0.265786,0.160702,1.03824,1.08179
33,9.19768,1.02847,0.262278,0.159734,1.02367,1.06717
34,9.46146,1.06123,0.259054,0.15923,1.00984,1.05373
35,9.75532,1.20096,0.256536,0.157263,0.996738,1.03964
36,10.0192,1.24439,0.254353,0.155511,0.984316,1.02652
37,10.2684,1.38957,0.252268,0.153484,0.971297,1.01329
38,10.5188,1.4416,0.25031,0.151511,0.958807,1.00089
39,10.7463,1.53658,0.248142,0.149735,0.947213,0.989042
