step,estimate_x,estimate_y,rmse_x,rmse_y,rmse_vx,rmse_vy
0,0.201778,0.385989,0.158219,0.214052,3.55768,2.37862
1,0.218459,0.68347,0.131777,0.162405,4.15906,3.03082
2,-0.181706,0.759662,0.113333,0.161305,3.7183,2.83378
3,-0.424708,0.730687,0.10333,0.153959,3.22366,2.58401
4,-0.658957,0.59286,0.0960873,0.137769,2.90263,2.36873
5,-0.858884,0.636136,0.0880435,0.126458,2.6682,2.20926
6,-1.11406,0.666691,0.0824982,0.119317,2.4747,2.07473
7,-1.31079,0.696844,0.0772481,0.115903,2.32111,1.96625
8,-1.5299,0.700118,0.0735568,0.113169,2.19389,1.86634
9,-1.69864,0.719812,0.0769398,0.112272,2.08996,1.78255
10,-1.9486,0.711202,0.0785199,0.110449,1.99565,1.70443
11,-2.1904,0.744795,0.0796746,0.111084,1.9129,1.63612
12,-2.47643,0.652071,0.0775968,0.106844,1.8379,1.57243
13,-2.72032,0.67975,0.0756285,0.103448,1.77109,1.51532
14,-2.98144,0.696131,0.0732808,0.100605,1.7111,1.46407
15,-3.23348,0.731491,0.0710008,0.0989467,1.65679,1.41758
16,-3.47971,0.701679,0.0688904,0.0962268,1.60733,1.37599
17,-3.72926,0.646297,0.0669568,0.0940169,1.56204,1.34112
18,-3.96765,0.683399,0.0651725,0.091613,1.52048,1.30709
19,-4.25085,0.629263,0.0642964,0.0915183,1.4824,1.27955
20,-4.49256,0.622736,0.0635286,0.0927416,1.44701,1.2546
21,-4.73498,0.677901,0.0628816,0.092176,1.41399,1.2284
22,-4.96105,0.744986,0.061877,0.0904313,1.38328,1.20203
23,-5.22279,0.74618,0.0615647,0.0892843,1.35466,1.17801
24,-5.48785,0.726458,0.0623266,0.0898466,1.3286,1.15701
25,-5.7094,0.822987,0.0622217,0.0883516,1.30354,1.13495
26,-5.93899,0.913665,0.0617763,0.086852,1.27919,1.11374
27,-6.13055,0.932344,0.0606631,0.0853222,1.25632,1.09378
28,-6.3819,0.974012,0.059646,0.0839196,1.23486,1.07481
29,-6.65269,0.968008,0.0591526,0.0826182,1.21476,1.05757
30,-6.89301,0.994711,0.0587032,0.0815344,1.19565,1.04155
31,-7.13346,1.08828,0.0583041,0.0802951,1.17732,1.02541
32,-7.38449,1.07652,0.0582395,0.0793978,1.15963,1.01148
33,-7.61864,1.12163,0.0580538,0.0785835,1.14266,0.998251
34,-7.83498,1.1573,0.0574357,0.0780841,1.12629,0.986054
35,-8.06489,1.18818,0.0567456,0.0781665,1.11058,0.975114
36,-8.29812,1.29669,0.0560455,0.0772469,1.09562,0.962914
37,-8.53052,1.32957,0.0553417,0.0767439,1.08123,0.952016
38,-8.73947,1.36019,0.0546783,0.0770128,1.06792,0.94317
39,-8.96056,1.46142,0.0541892,0.0764672,1.05513,0.933333
40,-9.1988,1.48674,0.0536797,0.0769457,1.04219,0.924949
41,-9.45785,1.50131,0.0530372,0.079535,1.02982,0.919203
42,-9.70955,1.49866,0.05248,0.0860342,1.01845,0.91701
43,-9.98422,1.64364,0.0526361,0.0885301,1.00781,0.910872
44,-10.2038,1.77279,0.052516,0.0892314,0.996853,0.903188
45,-10.4007,1.87328,0.0519786,0.089506,0.98607,0.895317
46,-10.6589,1.96502,0.0517868,0.089708,0.9765,0.887539
47,-10.8952,2.01739,0.0517501,0.0910075,0.967332,0.881347
48,-11.1205,2.11001,0.051681,0.0923574,0.958285,0.875467
49,-11.3041,2.27076,0.0511692,0.0921676,0.949044,0.868029
50,-11.5447,2.35392,0.0507636,0.0923954,0.940303,0.861521
51,-11.7781,2.50288,0.0504852,0.0919054,0.931892,0.854389
52,-12.0325,2.6243,0.0508388,0.0913162,0.924866,0.847343
53,-12.2751,2.75957,0.0518325,0.0905745,0.918308,0.840359
54,-12.5128,2.83408,0.0534662,0.0903516,0.911489,0.835032
55,-12.7218,3.00684,0.0547665,0.0896193,0.904649,0.828771
56,-12.9453,3.12923,0.0563314,0.0889369,0.897955,0.823044
57,-13.1384,3.31617,0.0572291,0.088217,0.891151,0.816585
58,-13.3284,3.41865,0.0576036,0.0874763,0.884074,0.811244
59,-13.5097,3.56048,0.0574954,0.0867501,0.877058,0.806119
60,-13.7392,3.7201,0.0578451,0.0860428,0.870632,0.80093
61,-13.9434,3.8268,0.0582331,0.0854449,0.864557,0.797046
62,-14.1361,3.98206,0.0584784,0.0848406,0.858169,0.793463
63,-14.3234,4.14737,0.0585544,0.0842082,0.851961,0.78973
64,-14.5483,4.29859,0.0592811,0.0836261,0.846099,0.786606
65,-14.7274,4.51296,0.0597279,0.0830407,0.840324,0.782289
66,-14.9251,4.66123,0.0603952,0.0824202,0.834728,0.778825
67,-15.0696,4.84321,0.0603228,0.0818309,0.829046,0.775164
68,-15.2488,4.97849,0.0602399,0.081295,0.823441,0.772956
69,-15.428,5.20169,0.060192,0.0807406,0.818082,0.76958
70,-15.5856,5.37897,0.0599695,0.0801821,0.812392,0.766993
71,-15.7861,5.50204,0.0601661,0.0798631,0.807216,0.766481
72,-15.9587,5.63395,0.0604857,0.0803838,0.802544,0.767767
73,-16.0836,5.84933,0.0602932,0.0805388,0.797761,0.767501
74,-16.2507,5.99676,0.0602162,0.08167,0.792981,0.769248
